Label_Value,Code
Confucianism--Rituals,875072
Insect sterilization,974038
Agricultural chemistry,800560
System analysis--Data processing,1141391
Regression analysis--Data processing,1093274
Nonparametric statistics--Data processing,1038856
Self-organizing systems--Data processing,1111793
Forest monitoring,932283
Valloniidae,1163849
Stylommatophora,1136345
Coast Salish Indians,865689
Technology and civilization,1145253
Civilization,862898
Social history,1122498
Seed pathology,1111068
Plant diseases,1065378
Shaving--Equipment and supplies,1115356
Brooms and brushes,839647
Tibeto-Burman peoples,1150706
Embryonopsis,908444
Dendroctonus,890295
Protestants,1079934
College students,867976
Croats,883833
Integral geometry,975512
Transportation medicine,1155316
Medicine,1014893
Frontier and pioneer life,935370
Human rights,963285
Administrative law,796846
Dytiscidae,900379
Plant hormones,1065480
Adenine,796544
Kinins,987751
Fantasy games,920831
Strix,1135530
Croatian literature,883807
Hindu women,957109
Women,1176568
Generals,939841
Armies--Staffs,814817
Judgments,984609
Philodromidae,1060686
"Equidae, Fossil",914540
"Perissodactyla, Fossil",1058191
Cooking (Fish),1753100
Hobbyists,958530
French language--Etymology,934420
Teeth--Roots--Surgery,1145769
Invertebrate surveys,1763059
Zoological surveys,1737955
Gastrointestinal agents,938855
Drugs,898761
Unionoida,1161411
Bivalves,1715646
Burial clothing,1199978
Grave goods,946842
Clothing and dress,864680
Wororan languages,1181435
Australian languages,821444
Sociologists,1123865
Oboe,1042840
Indo-Aryan philology,970399
Hadith,950112
Ragtime music,1088526
Apache Indians,811055
Athapascan Indians,819946
Telugu drama,1147197
Telugu literature,1147241
Astronomical clocks,819637
Clocks and watches,864521
Astronomical instruments,819641
Science and law,1108529
Educational law and legislation,903503
Phrosinidae,1062217
Amphipoda,807977
Chars,852519
Salmonidae,1104164
Macedonian poetry,1004731
Wireless communication systems,1176209
Landslides,992079
Bolinopsidae,835693
Lobata,1001122
Elapidae,904174
People with disabilities,1057245
Nonwoven fabrics,1039054
Eumeces,916482
Public records,1082850
Accounting,795379
"Pavements, Asphalt",1055454
Asphalt,818812
"Pavements, Bituminous",1055515
"Pavements, Flexible",1055580
Tax returns,1143838
Canned meat,845798
Beef,829583
Number concept,1041202
Psychology,1081447
Apperception,811561
Erythronium,915090
Nonlethal weapons,1038779
Electronic apparatus and appliances,906772
Fishes--Molecular aspects,926546
Fishes--Genetics,926487
Cyamodus,885711
Bearings (Machinery),829285
Willows,1175501
Soldiers,1125233
Religious facilities,1094055
Polynesians,1070688
"Sloths, Fossil",1120979
"Xenarthra, Fossil",1181970
Dutch poetry,899880
Chalcides,851851
Skinks,1120152
Plant molecular biology,1065557
Trichomonadida,1156592
Zooflagellates,1184672
Parainfluenza viruses,1052898
Hindi literature,956959
Gilding--Equipment and supplies,942705
Symptoms,1140998
Nose--Diseases,1039497
Sclerocarya,1742883
Anacardiaceae,808211
Colubridae,868814
Women metal-workers,1178146
Metal-workers,1017832
Sylheti literature,1910236
Pollutants,1070047
Inorganic wastes,1750082
Farm equipment,921003
Scientific apparatus and instruments,1108810
Agricultural machinery,801054
Computer systems,872651
Computational linguistics,871998
Broadcast journalism,839167
Press,1075837
Journalism,984032
Broadcasting,839187
Black English,833604
Mongolian poetry,1025414
Drawing,897725
Air flow,802370
Flatbreads,1985277
English poetry--Old English,1710965
Spine--Abnormalities,1129920
Spine--Tuberculosis,1129949
Falco,1198493
Falconidae,919989
Falcons,919997
Iron,979089
Geomorphology,940955
Thai poetry,1149083
Petrology,1059885
Paleontology,1051513
Mineralogy,1022406
Geochronometry,940358
Time measurements,1151135
Labor unions--Finance,990276
Lamiaceae,991072
Placodus,1065022
Rocket engines,1099299
Cushitic languages,885477
Brazilian fiction,838105
Cyclohexenones,1740638
Cyclohexane,885933
Ketones,986944
Navigation--Safety measures,1035129
Basketball--Equipment and supplies,828215
Bowed stringed instruments,837198
Health services administration,953286
Zither,1184548
Muna language,1029137
Menus,1016875
Cooking,1754966
Oceanographers,1043636
Women earth scientists,1177598
Benue-Congo languages,830557
Fisheries,926051
Pencil drawing,1056832
"School psychologists--Legal status, laws, etc.",1107733
Personality tests,1058762
